rl_loss/qf1_loss,rl_loss/qf2_loss,rl_loss/policy_loss,rl_loss/policy_entropy,rl_loss/alpha,z/env_steps,z/rollouts,z/rl_steps,metrics/return_eval_avg,metrics/total_steps_eval_avg,z/time_cost,z/fps
0.0015,0.0012,-6.8438,0.0,0.1,,,,,,,
0.0031,0.0028,-6.8401,0.0,0.1,,,,,,,
0.0015,0.0031,-6.7853,0.0,0.1,,,,,,,
0.0028,0.0025,-6.8557,0.0,0.1,,,,,,,
0.0011,0.0012,-6.8914,0.0,0.1,,,,,,,
,,,,,97633,7945,316000,6.0,7.0,2726,20.9346
0.0027,0.0036,-6.8513,0.0,0.1,,,,,,,
0.0026,0.0021,-6.8465,0.0,0.1,,,,,,,
0.001,0.0004,-6.8224,0.0,0.1,,,,,,,
0.0034,0.0055,-6.7836,0.0,0.1,,,,,,,
0.0017,0.0007,-6.8425,0.0,0.1,,,,,,,
0.0028,0.0024,-6.9109,0.0,0.1,,,,,,,
0.0018,0.0021,-6.8296,0.0,0.1,,,,,,,
0.0031,0.0029,-6.8164,0.0,0.1,,,,,,,
0.0019,0.0019,-6.8782,0.0,0.1,,,,,,,
0.0014,0.002,-6.8337,0.0,0.1,,,,,,,
0.0036,0.0031,-6.8679,0.0,0.1,,,,,,,
0.0014,0.0032,-6.8797,0.0,0.1,,,,,,,
0.0026,0.0014,-6.894,0.0,0.1,,,,,,,
0.0028,0.0017,-6.9134,0.0,0.1,,,,,,,
,,,,,100083,8295,330000,6.0,7.0,2844,20.8767
0.0027,0.003,-6.8802,0.0,0.1,,,,,,,
0.0011,0.0033,-6.8846,0.0,0.1,,,,,,,
0.0041,0.0036,-6.8697,0.0,0.1,,,,,,,
0.0022,0.0018,-6.8697,0.0,0.1,,,,,,,
0.0018,0.0016,-6.8914,0.0,0.1,,,,,,,
0.0022,0.0025,-6.9307,0.0,0.1,,,,,,,
0.0017,0.0033,-6.9173,0.0,0.1,,,,,,,
0.0019,0.0018,-6.9045,0.0,0.1,,,,,,,
0.0037,0.0027,-6.9274,0.0,0.1,,,,,,,
0.0017,0.0034,-6.937,0.0,0.1,,,,,,,
0.0014,0.0014,-6.9013,0.0,0.1,,,,,,,
0.0031,0.0025,-6.9322,0.0,0.1,,,,,,,
0.0032,0.0024,-6.9503,0.0,0.1,,,,,,,
0.0021,0.0022,-6.9423,0.0,0.1,,,,,,,
,,,,,102533,8645,344000,6.0,7.0,2961,20.8576
0.0008,0.0012,-6.9368,0.0,0.1,,,,,,,
0.0026,0.0024,-6.9599,0.0,0.1,,,,,,,
0.0043,0.0033,-6.9466,0.0,0.1,,,,,,,
0.0019,0.0023,-6.949,0.0,0.1,,,,,,,
0.0017,0.0015,-6.8854,0.0,0.1,,,,,,,
0.0021,0.0032,-6.8808,0.0,0.1,,,,,,,
0.0017,0.0015,-6.8981,0.0,0.1,,,,,,,
0.0032,0.0027,-6.8876,0.0,0.1,,,,,,,
0.0012,0.0016,-7.0038,0.0,0.1,,,,,,,
0.0026,0.0018,-6.9373,0.0,0.1,,,,,,,
0.0033,0.0039,-6.9559,0.0,0.1,,,,,,,
0.0011,0.0016,-7.0133,0.0,0.1,,,,,,,
0.0025,0.003,-6.9304,0.0,0.1,,,,,,,
0.0025,0.0019,-6.951,0.0,0.1,,,,,,,
0.0011,0.0016,-6.9754,0.0,0.1,,,,,,,
,,,,,105158,9020,359000,6.0,7.0,3087,20.9319
0.0019,0.0015,-6.963,0.0,0.1,,,,,,,
0.0036,0.0027,-6.9668,0.0,0.1,,,,,,,
0.0017,0.0024,-6.9607,0.0,0.1,,,,,,,
0.0024,0.0024,-6.9495,0.0,0.1,,,,,,,
0.0024,0.002,-6.9775,0.0,0.1,,,,,,,
0.0016,0.0025,-6.9352,0.0,0.1,,,,,,,
0.0029,0.0013,-6.9903,0.0,0.1,,,,,,,
0.0026,0.0016,-6.9449,0.0,0.1,,,,,,,
0.0026,0.0051,-6.9461,0.0,0.1,,,,,,,
0.0018,0.0008,-6.9783,0.0,0.1,,,,,,,
0.0027,0.0033,-6.9139,0.0,0.1,,,,,,,
